baggage_tag,route_type,transfer_count,baggage_volume,route_distance_km,mishandled,mishandled_flag,complexity_score,distance_group
BG00001,International,1,389,1155,No,0,389,Short
BG00002,International,0,207,4814,No,0,0,Medium
BG00003,Domestic,1,104,3034,No,0,104,Medium
BG00004,Domestic,2,142,7321,No,0,284,Long
BG00005,Domestic,2,110,4567,No,0,220,Medium
BG00006,Domestic,3,251,522,Yes,1,753,Short
BG00007,International,0,152,5040,No,0,0,Medium
BG00008,Domestic,0,437,2201,No,0,0,Short
BG00009,Domestic,1,396,6722,No,0,396,Long
BG00010,International,1,438,7110,No,0,438,Long
BG00011,Domestic,3,82,3592,No,0,246,Medium
BG00012,International,1,395,5570,No,0,395,Medium
BG00013,International,2,87,1606,No,0,174,Short
BG00014,Domestic,3,283,626,Yes,1,849,Short
BG00015,International,1,286,456,No,0,286,Short
BG00016,International,2,422,1809,No,0,844,Short
BG00017,Domestic,3,420,1129,No,0,1260,Short
BG00018,Domestic,1,183,6292,No,0,183,Long
BG00019,International,1,306,284,No,0,306,Short
BG00020,International,1,441,4658,No,0,441,Medium
BG00021,International,2,406,4534,No,0,812,Medium
BG00022,International,1,318,5099,No,0,318,Medium
BG00023,Domestic,3,294,1161,No,0,882,Short
BG00024,Domestic,1,443,4593,No,0,443,Medium
BG00025,International,1,232,2559,No,0,232,Short
BG00026,International,0,351,4070,No,0,0,Medium
BG00027,Domestic,1,398,6298,Yes,1,398,Long
BG00028,International,0,339,4269,No,0,0,Medium
BG00029,Domestic,1,438,4549,No,0,438,Medium
BG00030,Domestic,2,446,7798,No,0,892,Long
BG00031,International,2,126,5057,No,0,252,Medium
BG00032,International,0,207,931,No,0,0,Short
BG00033,Domestic,0,195,7339,No,0,0,Long
BG00034,International,2,154,6084,Yes,1,308,Long
BG00035,International,1,119,299,No,0,119,Short
BG00036,International,1,243,6102,No,0,243,Long
BG00037,International,0,275,1179,No,0,0,Short
BG00038,Domestic,1,441,7246,No,0,441,Long
BG00039,International,2,288,3855,No,0,576,Medium
BG00040,Domestic,3,264,681,No,0,792,Short
BG00041,Domestic,3,402,6861,No,0,1206,Long
BG00042,Domestic,1,353,7726,No,0,353,Long
BG00043,Domestic,1,426,4659,No,0,426,Medium
BG00044,International,2,229,8340,No,0,458,Long
BG00045,International,3,199,5690,No,0,597,Medium
BG00046,International,3,410,6766,No,0,1230,Long
BG00047,Domestic,1,323,2653,Yes,1,323,Short
BG00048,Domestic,2,176,3822,No,0,352,Medium
BG00049,International,1,331,8083,No,0,331,Long
BG00050,International,0,143,1201,No,0,0,Short
BG00051,International,1,104,3914,No,0,104,Medium
BG00052,International,0,162,1321,No,0,0,Short
BG00053,Domestic,1,374,3148,No,0,374,Medium
BG00054,International,3,189,2925,No,0,567,Short
BG00055,Domestic,3,408,4729,No,0,1224,Medium
BG00056,Domestic,0,390,506,No,0,0,Short
BG00057,Domestic,1,322,8034,No,0,322,Long
BG00058,International,1,282,1426,No,0,282,Short
BG00059,International,2,394,905,No,0,788,Short
BG00060,Domestic,3,299,3447,No,0,897,Medium
BG00061,Domestic,1,429,8233,No,0,429,Long
BG00062,Domestic,2,116,4246,No,0,232,Medium
BG00063,International,1,211,4722,No,0,211,Medium
BG00064,International,2,218,4913,Yes,1,436,Medium
BG00065,International,1,270,5824,No,0,270,Medium
BG00066,International,3,376,8305,Yes,1,1128,Long
BG00067,International,3,171,7483,Yes,1,513,Long
BG00068,International,2,115,545,No,0,230,Short
BG00069,International,1,430,474,No,0,430,Short
BG00070,Domestic,2,252,3466,No,0,504,Medium
BG00071,International,2,273,1753,No,0,546,Short
BG00072,Domestic,0,173,2376,No,0,0,Short
BG00073,International,0,115,2774,No,0,0,Short
BG00074,Domestic,0,438,2426,No,0,0,Short
BG00075,Domestic,1,313,6063,No,0,313,Long
BG00076,International,1,205,6476,Yes,1,205,Long
BG00077,International,0,293,3140,No,0,0,Medium
BG00078,International,3,395,5920,No,0,1185,Medium
BG00079,Domestic,3,198,1333,No,0,594,Short
BG00080,International,1,299,1898,No,0,299,Short
BG00081,International,1,134,2088,No,0,134,Short
BG00082,Domestic,0,155,3242,No,0,0,Medium
BG00083,Domestic,3,441,648,No,0,1323,Short
BG00084,Domestic,3,278,7665,No,0,834,Long
BG00085,International,2,393,5000,No,0,786,Medium
BG00086,Domestic,0,217,1022,No,0,0,Short
BG00087,Domestic,3,114,5645,No,0,342,Medium
BG00088,Domestic,2,238,2466,No,0,476,Short
BG00089,Domestic,1,362,7752,No,0,362,Long
BG00090,Domestic,2,364,8068,No,0,728,Long
BG00091,Domestic,3,303,923,No,0,909,Short
BG00092,Domestic,1,326,3314,No,0,326,Medium
BG00093,Domestic,3,358,8137,No,0,1074,Long
BG00094,International,1,413,4405,No,0,413,Medium
BG00095,Domestic,0,289,3474,No,0,0,Medium
BG00096,International,1,91,4090,No,0,91,Medium
BG00097,International,0,213,5097,No,0,0,Medium
BG00098,Domestic,3,316,3937,No,0,948,Medium
BG00099,Domestic,1,439,2150,No,0,439,Short
BG00100,Domestic,3,143,686,Yes,1,429,Short
BG00101,International,1,228,8329,No,0,228,Long
BG00102,Domestic,3,252,6598,No,0,756,Long
BG00103,Domestic,3,235,5875,Yes,1,705,Medium
BG00104,International,0,422,452,Yes,1,0,Short
BG00105,Domestic,3,151,7347,No,0,453,Long
BG00106,Domestic,0,352,5641,No,0,0,Medium
BG00107,Domestic,3,233,900,No,0,699,Short
BG00108,International,2,225,1063,No,0,450,Short
BG00109,Domestic,3,279,1168,No,0,837,Short
BG00110,Domestic,3,410,572,No,0,1230,Short
BG00111,Domestic,3,131,3005,No,0,393,Medium
BG00112,International,3,420,7086,No,0,1260,Long
BG00113,Domestic,0,161,7319,No,0,0,Long
BG00114,Domestic,0,89,4912,No,0,0,Medium
BG00115,Domestic,2,418,7356,No,0,836,Long
BG00116,International,3,413,6576,No,0,1239,Long
BG00117,Domestic,1,230,6584,No,0,230,Long
BG00118,International,0,229,5564,No,0,0,Medium
BG00119,Domestic,0,446,7270,Yes,1,0,Long
BG00120,Domestic,0,406,8083,No,0,0,Long
